Video 2 | Frame 170 | Violation Detected
Video 2 | Frame 171 | Violation Detected
Video 2 | Frame 172 | Violation Detected
Video 2 | Frame 173 | Violation Detected
Video 2 | Frame 174 | Violation Detected
Video 2 | Frame 175 | Violation Detected
Video 2 | Frame 176 | Violation Detected
Video 2 | Frame 177 | Violation Detected
Video 2 | Frame 178 | Violation Detected
Video 2 | Frame 179 | Violation Detected
Video 2 | Frame 180 | Violation Detected
Video 2 | Frame 181 | Violation Detected
Video 2 | Frame 182 | Violation Detected
Video 2 | Frame 183 | Violation Detected
Video 2 | Frame 184 | Violation Detected
Video 2 | Frame 185 | Violation Detected
Video 2 | Frame 186 | Violation Detected
Video 2 | Frame 187 | Violation Detected
Video 2 | Frame 188 | Violation Detected
Video 2 | Frame 189 | Violation Detected
Video 2 | Frame 190 | Violation Detected
Video 2 | Frame 191 | Violation Detected
Video 2 | Frame 192 | Violation Detected
Video 2 | Frame 193 | Violation Detected
Video 2 | Frame 194 | Violation Detected
Video 2 | Frame 195 | Violation Detected
Video 2 | Frame 196 | Violation Detected
Video 2 | Frame 197 | Violation Detected
Video 2 | Frame 198 | Violation Detected
Video 2 | Frame 199 | Violation Detected
Video 2 | Frame 200 | Violation Detected
Video 2 | Frame 201 | Violation Detected
Video 2 | Frame 202 | Violation Detected
Video 2 | Frame 203 | Violation Detected
Video 2 | Frame 204 | Violation Detected
Video 2 | Frame 205 | Violation Detected
Video 2 | Frame 206 | Violation Detected
Video 2 | Frame 207 | Violation Detected
Video 2 | Frame 208 | Violation Detected
Video 2 | Frame 209 | Violation Detected
Video 2 | Frame 210 | Violation Detected
Video 2 | Frame 211 | Violation Detected
Video 2 | Frame 212 | Violation Detected
Video 2 | Frame 213 | Violation Detected
Video 2 | Frame 214 | Violation Detected
Video 2 | Frame 215 | Violation Detected
Video 2 | Frame 216 | Violation Detected
Video 2 | Frame 217 | Violation Detected
Video 2 | Frame 218 | Violation Detected
Video 2 | Frame 219 | Violation Detected
Video 2 | Frame 220 | Violation Detected
Video 2 | Frame 221 | Violation Detected
Video 2 | Frame 222 | Violation Detected
Video 2 | Frame 223 | Violation Detected
Video 2 | Frame 224 | Violation Detected
Video 2 | Frame 225 | Violation Detected
Video 2 | Frame 226 | Violation Detected
Video 2 | Frame 227 | Violation Detected
Video 2 | Frame 228 | Violation Detected
Video 2 | Frame 229 | Violation Detected
Video 2 | Frame 230 | Violation Detected
Video 2 | Frame 231 | Violation Detected
Video 2 | Frame 232 | Violation Detected
Video 2 | Frame 233 | Violation Detected
Video 2 | Frame 234 | Violation Detected
Video 2 | Frame 235 | Violation Detected
Video 2 | Frame 236 | Violation Detected
Video 2 | Frame 237 | Violation Detected
Video 2 | Frame 238 | Violation Detected
Video 2 | Frame 239 | Violation Detected
Video 2 | Frame 240 | Violation Detected
Video 2 | Frame 241 | Violation Detected
Video 2 | Frame 242 | Violation Detected
Video 2 | Frame 243 | Violation Detected
Video 2 | Frame 244 | Violation Detected
Video 2 | Frame 245 | Violation Detected
Video 2 | Frame 246 | Violation Detected
Video 2 | Frame 247 | Violation Detected
Video 2 | Frame 248 | Violation Detected
Video 2 | Frame 249 | Violation Detected
Video 2 | Frame 250 | Violation Detected
Video 2 | Frame 251 | Violation Detected
Video 2 | Frame 252 | Violation Detected
Video 2 | Frame 253 | Violation Detected
Video 2 | Frame 254 | Violation Detected
Video 2 | Frame 255 | Violation Detected
Video 2 | Frame 256 | Violation Detected
Video 2 | Frame 257 | Violation Detected
Video 2 | Frame 258 | Violation Detected
Video 2 | Frame 259 | Violation Detected
Video 2 | Frame 260 | Violation Detected
Video 2 | Frame 261 | Violation Detected
Video 2 | Frame 262 | Violation Detected
Video 2 | Frame 263 | Violation Detected
Video 2 | Frame 264 | Violation Detected
Video 2 | Frame 265 | Violation Detected
Video 2 | Frame 266 | Violation Detected
Video 2 | Frame 267 | Violation Detected
Video 2 | Frame 268 | Violation Detected
Video 2 | Frame 269 | Violation Detected
Video 2 | Frame 270 | Violation Detected
Video 2 | Frame 271 | Violation Detected
Video 2 | Frame 272 | Violation Detected
Video 2 | Frame 273 | Violation Detected
Video 2 | Frame 274 | Violation Detected
Video 2 | Frame 275 | Violation Detected
Video 2 | Frame 276 | Violation Detected
Video 2 | Frame 277 | Violation Detected
Video 2 | Frame 278 | Violation Detected
Video 2 | Frame 279 | Violation Detected
Video 2 | Frame 280 | Violation Detected
Video 2 | Frame 281 | Violation Detected
Video 2 | Frame 282 | Violation Detected
Video 2 | Frame 283 | Violation Detected
Video 2 | Frame 284 | Violation Detected
Video 2 | Frame 285 | Violation Detected
Video 2 | Frame 286 | Violation Detected
Video 2 | Frame 287 | Violation Detected
Video 2 | Frame 288 | Violation Detected
Video 2 | Frame 289 | Violation Detected
Video 2 | Frame 290 | Violation Detected
Video 2 | Frame 291 | Violation Detected
Video 2 | Frame 292 | Violation Detected
Video 2 | Frame 293 | Violation Detected
Video 2 | Frame 294 | Violation Detected
Video 2 | Frame 295 | Violation Detected
Video 2 | Frame 296 | Violation Detected
Video 2 | Frame 297 | Violation Detected
Video 2 | Frame 298 | Violation Detected
Video 2 | Frame 299 | Violation Detected
Video 2 | Frame 300 | Violation Detected
Video 2 | Frame 301 | Violation Detected
Video 2 | Frame 302 | Violation Detected
Video 2 | Frame 303 | Violation Detected
Video 2 | Frame 304 | Violation Detected
Video 2 | Frame 305 | Violation Detected
Video 2 | Frame 306 | Violation Detected
Video 2 | Frame 307 | Violation Detected
Video 2 | Frame 308 | Violation Detected
Video 2 | Frame 309 | Violation Detected
Video 2 | Frame 310 | Violation Detected
Video 2 | Frame 311 | Violation Detected
Video 2 | Frame 312 | Violation Detected
Video 2 | Frame 313 | Violation Detected
Video 2 | Frame 314 | Violation Detected
Video 2 | Frame 315 | Violation Detected
Video 2 | Frame 316 | Violation Detected
Video 2 | Frame 317 | Violation Detected
Video 2 | Frame 318 | Violation Detected
Video 2 | Frame 319 | Violation Detected
Video 2 | Frame 320 | Violation Detected
Video 2 | Frame 321 | Violation Detected
Video 2 | Frame 322 | Violation Detected
Video 2 | Frame 325 | Violation Detected
Video 2 | Frame 326 | Violation Detected
Video 2 | Frame 327 | Violation Detected
Video 2 | Frame 328 | Violation Detected
Video 2 | Frame 329 | Violation Detected
Video 2 | Frame 330 | Violation Detected
Video 2 | Frame 331 | Violation Detected
Video 2 | Frame 332 | Violation Detected
Video 2 | Frame 333 | Violation Detected
Video 2 | Frame 334 | Violation Detected
Video 2 | Frame 335 | Violation Detected
Video 2 | Frame 336 | Violation Detected
Video 2 | Frame 337 | Violation Detected
Video 2 | Frame 338 | Violation Detected
Video 2 | Frame 339 | Violation Detected
Video 2 | Frame 340 | Violation Detected
Video 2 | Frame 341 | Violation Detected
Video 2 | Frame 342 | Violation Detected
Video 2 | Frame 343 | Violation Detected
Video 2 | Frame 344 | Violation Detected
Video 2 | Frame 345 | Violation Detected
Video 2 | Frame 346 | Violation Detected
Video 2 | Frame 347 | Violation Detected
Video 2 | Frame 348 | Violation Detected
Video 2 | Frame 349 | Violation Detected
Video 2 | Frame 350 | Violation Detected
Video 2 | Frame 351 | Violation Detected
Video 2 | Frame 352 | Violation Detected
Video 2 | Frame 353 | Violation Detected
Video 2 | Frame 354 | Violation Detected
Video 2 | Frame 355 | Violation Detected
Video 2 | Frame 356 | Violation Detected
Video 2 | Frame 357 | Violation Detected
Video 2 | Frame 358 | Violation Detected
Video 2 | Frame 359 | Violation Detected
Video 2 | Frame 360 | Violation Detected
Video 2 | Frame 361 | Violation Detected
Video 2 | Frame 362 | Violation Detected
Video 2 | Frame 363 | Violation Detected
Video 2 | Frame 364 | Violation Detected
Video 2 | Frame 365 | Violation Detected
Video 2 | Frame 366 | Violation Detected
Video 2 | Frame 367 | Violation Detected
Video 2 | Frame 368 | Violation Detected
Video 2 | Frame 376 | Violation Detected
Video 2 | Frame 377 | Violation Detected
Video 2 | Frame 378 | Violation Detected
Video 2 | Frame 379 | Violation Detected
Video 2 | Frame 380 | Violation Detected
Video 2 | Frame 381 | Violation Detected
Video 2 | Frame 382 | Violation Detected
Video 2 | Frame 383 | Violation Detected
Video 2 | Frame 384 | Violation Detected
Video 2 | Frame 385 | Violation Detected
Video 2 | Frame 386 | Violation Detected
Video 2 | Frame 387 | Violation Detected
Video 2 | Frame 388 | Violation Detected
Video 2 | Frame 389 | Violation Detected
Video 2 | Frame 390 | Violation Detected
Video 2 | Frame 391 | Violation Detected
Video 2 | Frame 392 | Violation Detected
Video 2 | Frame 393 | Violation Detected
