Video 1 | Frame 178 | No Violation
Video 1 | Frame 179 | No Violation
Video 1 | Frame 180 | No Violation
Video 1 | Frame 181 | No Violation
Video 1 | Frame 182 | No Violation
Video 1 | Frame 183 | No Violation
Video 1 | Frame 184 | No Violation
Video 1 | Frame 185 | No Violation
Video 1 | Frame 186 | No Violation
Video 1 | Frame 187 | No Violation
Video 1 | Frame 188 | No Violation
Video 1 | Frame 189 | No Violation
Video 1 | Frame 190 | No Violation
Video 1 | Frame 191 | No Violation
Video 1 | Frame 192 | No Violation
Video 1 | Frame 193 | No Violation
Video 1 | Frame 194 | No Violation
Video 1 | Frame 195 | No Violation
Video 1 | Frame 196 | No Violation
Video 1 | Frame 197 | No Violation
Video 1 | Frame 198 | No Violation
Video 1 | Frame 199 | No Violation
Video 1 | Frame 200 | No Violation
Video 1 | Frame 201 | No Violation
Video 1 | Frame 202 | No Violation
Video 1 | Frame 203 | No Violation
Video 1 | Frame 204 | No Violation
Video 1 | Frame 205 | No Violation
Video 1 | Frame 206 | No Violation
Video 1 | Frame 207 | No Violation
Video 1 | Frame 208 | No Violation
Video 1 | Frame 209 | No Violation
Video 1 | Frame 210 | No Violation
Video 1 | Frame 211 | No Violation
Video 1 | Frame 212 | No Violation
Video 1 | Frame 213 | No Violation
Video 1 | Frame 214 | No Violation
Video 1 | Frame 215 | No Violation
Video 1 | Frame 216 | No Violation
Video 1 | Frame 217 | No Violation
Video 1 | Frame 218 | No Violation
Video 1 | Frame 219 | No Violation
Video 1 | Frame 220 | No Violation
Video 1 | Frame 221 | No Violation
Video 1 | Frame 222 | No Violation
Video 1 | Frame 223 | No Violation
Video 1 | Frame 224 | No Violation
Video 1 | Frame 225 | No Violation
Video 1 | Frame 226 | No Violation
Video 1 | Frame 227 | No Violation
Video 1 | Frame 228 | No Violation
Video 1 | Frame 229 | No Violation
Video 1 | Frame 230 | No Violation
Video 1 | Frame 231 | No Violation
Video 1 | Frame 252 | No Violation
Video 1 | Frame 253 | No Violation
Video 1 | Frame 258 | No Violation
Video 1 | Frame 259 | No Violation
Video 1 | Frame 261 | No Violation
Video 1 | Frame 262 | No Violation
Video 1 | Frame 263 | No Violation
Video 1 | Frame 264 | No Violation
Video 1 | Frame 265 | No Violation
Video 1 | Frame 266 | No Violation
Video 1 | Frame 267 | No Violation
Video 1 | Frame 268 | No Violation
Video 1 | Frame 269 | No Violation
Video 1 | Frame 270 | No Violation
Video 1 | Frame 271 | No Violation
Video 1 | Frame 272 | No Violation
Video 1 | Frame 273 | No Violation
Video 1 | Frame 274 | No Violation
Video 1 | Frame 275 | No Violation
Video 1 | Frame 276 | No Violation
Video 1 | Frame 277 | No Violation
Video 1 | Frame 278 | No Violation
Video 1 | Frame 279 | No Violation
Video 1 | Frame 280 | No Violation
Video 1 | Frame 282 | No Violation
Video 1 | Frame 283 | No Violation
Video 1 | Frame 284 | No Violation
Video 1 | Frame 285 | No Violation
Video 1 | Frame 286 | No Violation
Video 1 | Frame 287 | No Violation
Video 1 | Frame 288 | No Violation
Video 1 | Frame 289 | No Violation
Video 1 | Frame 290 | No Violation
Video 1 | Frame 291 | No Violation
Video 1 | Frame 292 | No Violation
Video 1 | Frame 293 | No Violation
Video 1 | Frame 294 | No Violation
Video 1 | Frame 295 | No Violation
Video 1 | Frame 296 | No Violation
Video 1 | Frame 297 | No Violation
Video 1 | Frame 298 | No Violation
Video 1 | Frame 299 | No Violation
Video 1 | Frame 300 | No Violation
Video 1 | Frame 301 | No Violation
Video 1 | Frame 302 | No Violation
Video 1 | Frame 303 | No Violation
Video 1 | Frame 304 | No Violation
Video 1 | Frame 305 | No Violation
Video 1 | Frame 306 | No Violation
Video 1 | Frame 307 | No Violation
Video 1 | Frame 308 | No Violation
Video 1 | Frame 309 | No Violation
Video 1 | Frame 310 | No Violation
Video 1 | Frame 311 | No Violation
Video 1 | Frame 312 | No Violation
Video 1 | Frame 313 | No Violation
Video 1 | Frame 314 | No Violation
Video 1 | Frame 315 | No Violation
Video 1 | Frame 316 | No Violation
Video 1 | Frame 317 | No Violation
Video 1 | Frame 318 | No Violation
Video 1 | Frame 319 | No Violation
Video 1 | Frame 320 | No Violation
Video 1 | Frame 321 | No Violation
Video 1 | Frame 322 | No Violation
Video 1 | Frame 323 | No Violation
Video 1 | Frame 324 | No Violation
Video 1 | Frame 325 | No Violation
Video 1 | Frame 326 | No Violation
Video 1 | Frame 327 | No Violation
Video 1 | Frame 328 | No Violation
Video 1 | Frame 329 | No Violation
Video 1 | Frame 330 | No Violation
Video 1 | Frame 331 | No Violation
Video 1 | Frame 332 | No Violation
Video 1 | Frame 333 | No Violation
Video 1 | Frame 334 | No Violation
Video 1 | Frame 335 | No Violation
Video 1 | Frame 336 | No Violation
Video 1 | Frame 337 | No Violation
Video 1 | Frame 338 | No Violation
Video 1 | Frame 339 | No Violation
Video 1 | Frame 340 | No Violation
Video 1 | Frame 341 | No Violation
Video 1 | Frame 342 | No Violation
Video 1 | Frame 343 | No Violation
Video 1 | Frame 344 | No Violation
Video 1 | Frame 345 | No Violation
Video 1 | Frame 346 | No Violation
Video 1 | Frame 347 | No Violation
Video 1 | Frame 348 | No Violation
Video 1 | Frame 349 | No Violation
Video 1 | Frame 350 | No Violation
Video 1 | Frame 351 | No Violation
Video 1 | Frame 352 | No Violation
Video 1 | Frame 353 | No Violation
Video 1 | Frame 354 | No Violation
Video 1 | Frame 355 | No Violation
Video 1 | Frame 356 | No Violation
Video 1 | Frame 357 | No Violation
Video 1 | Frame 358 | No Violation
Video 1 | Frame 359 | No Violation
Video 1 | Frame 360 | No Violation
Video 1 | Frame 361 | No Violation
Video 1 | Frame 362 | No Violation
Video 1 | Frame 363 | No Violation
Video 1 | Frame 364 | No Violation
Video 1 | Frame 365 | No Violation
Video 1 | Frame 366 | No Violation
Video 1 | Frame 367 | No Violation
Video 1 | Frame 368 | No Violation
Video 1 | Frame 369 | No Violation
Video 1 | Frame 370 | No Violation
Video 1 | Frame 371 | No Violation
Video 1 | Frame 372 | No Violation
Video 1 | Frame 373 | No Violation
Video 1 | Frame 374 | No Violation
Video 1 | Frame 375 | No Violation
Video 1 | Frame 376 | No Violation
Video 1 | Frame 377 | No Violation
Video 1 | Frame 378 | No Violation
Video 1 | Frame 379 | No Violation
Video 1 | Frame 380 | No Violation
Video 1 | Frame 381 | No Violation
Video 1 | Frame 382 | No Violation
Video 1 | Frame 383 | No Violation
Video 1 | Frame 384 | No Violation
Video 1 | Frame 385 | No Violation
Video 1 | Frame 386 | No Violation
Video 1 | Frame 387 | No Violation
Video 1 | Frame 388 | No Violation
Video 1 | Frame 389 | No Violation
Video 1 | Frame 390 | No Violation
Video 1 | Frame 391 | No Violation
Video 1 | Frame 392 | No Violation
Video 1 | Frame 393 | No Violation
Video 1 | Frame 394 | No Violation
Video 1 | Frame 395 | No Violation
Video 1 | Frame 396 | No Violation
Video 1 | Frame 397 | No Violation
Video 1 | Frame 398 | No Violation
Video 1 | Frame 399 | No Violation
Video 1 | Frame 400 | No Violation
Video 1 | Frame 401 | No Violation
